location_stand,banking,bike_stands,available_bike_stands,available_bikes,longitude,latitude,holiday,workingday,weather,Season,temp,humidity,windspeed,casual,registered,count,date_time
Aungier street outside DIT,TRUE,25,9,16,-6.26622498,53.33866101,0,1,2,1,25.42,73,7.0015,51,435,486,01-01-2020 00:00
Capel street outside Dublin College of Advanced Studies,FALSE,29,29,0,-6.269459724,53.35013744,0,1,2,1,25.42,73,8.9981,32,308,340,01-01-2020 01:00
Kings Inn Street,FALSE,30,13,17,-6.268934011,53.35202907,0,1,3,1,25.42,83,15.0013,28,205,233,01-01-2020 02:00
top of Parnell street,FALSE,20,10,10,-6.257198006,53.35419437,0,1,3,1,25.42,83,16.9979,20,109,129,01-01-2020 03:00
"Parnell Street, outside Burger King",FALSE,40,37,3,-6.264808774,53.3508299,0,1,3,1,24.6,94,16.9979,4,66,70,01-01-2020 04:00
Mary street outside Mary Mall,FALSE,30,29,1,-6.267952323,53.348618,0,1,3,1,24.6,94,16.9979,2,11,13,01-01-2020 05:00
Berkeley road outside Flanagans pharmacy,TRUE,29,29,0,-6.269868761,53.35896725,0,1,3,1,24.6,94,12.998,0,5,5,01-01-2020 06:00
Mayor street lower outside AIB,FALSE,30,0,25,-6.24368906,53.34900307,0,1,3,1,24.6,94,12.998,0,4,4,01-01-2020 07:00
George's Dock across the road from KPMG,FALSE,40,32,8,-6.24969855,53.34960348,0,1,2,1,25.42,94,19.0012,0,6,6,01-01-2020 08:00
Suffolk street,FALSE,40,22,18,-6.260666102,53.34371105,0,1,2,1,25.42,94,23.9994,2,5,7,01-01-2020 09:00
,FALSE,40,40,0,-6.261174381,53.3400639,0,1,2,1,26.24,89,22.0028,3,45,48,01-01-2020 10:00
Westmoreland street,TRUE,40,35,5,-6.249374002,53.34383275,0,1,2,1,26.24,89,22.0028,4,163,167,01-01-2020 11:00
Pearce street,FALSE,40,28,12,-6.255238652,53.34522827,0,1,2,1,26.24,89,30.0026,13,343,356,01-01-2020 12:00
